country,ISO3,region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sudan,SDN,Sub-Saharan Africa,106,103,100,97,95,92,89,87,85,82,80,78,76,74,72,70
Suriname,SUR,Latin America & Caribbean,34,33,32,31,30,29,28,27,26,26,25,24,23,23,22,21
Swaziland,SWZ,Sub-Saharan Africa,128,132,133,134,133,130,123,117,114,104,88,79,73,68,63,61
Sweden,SWE,Europe & Central Asia,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
Switzerland,CHE,Europe & Central Asia,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4
Syria,SYR,Middle East & North Africa,23,22,21,21,20,19,18,17,17,16,15,15,16,15,14,13
Tajikistan,TJK,Europe & Central Asia,93,87,80,75,70,65,62,59,56,54,53,51,49,48,46,45
Tanzania,TZA,Sub-Saharan Africa,131,123,115,107,99,92,86,80,74,69,63,59,56,53,51,49
Thailand,THA,East Asia & Pacific,23,22,21,20,19,18,17,16,16,15,15,14,14,13,13,12
Timor-Leste,TLS,East Asia & Pacific,110,105,99,94,88,83,79,74,70,67,64,61,59,57,55,53
Togo,TGO,Sub-Saharan Africa,121,118,114,111,108,105,102,99,96,94,91,88,86,83,81,78
Tonga,TON,East Asia & Pacific,18,17,17,17,17,17,17,17,17,17,17,18,18,17,17,17
Trinidad and Tobago,TTO,Latin America & Caribbean,29,29,28,28,28,27,26,26,25,24,24,23,22,22,21,20
Tunisia,TUN,Middle East & North Africa,32,30,28,26,25,23,22,21,19,18,17,17,16,15,15,14
Turkey,TUR,Europe & Central Asia,40,37,34,32,30,28,26,24,22,21,19,18,17,15,14,14
Turkmenistan,TKM,Europe & Central Asia,82,79,77,75,72,70,68,66,64,62,60,58,57,55,53,51
Tuvalu,TUV,East Asia & Pacific,43,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27
Uganda,UGA,Sub-Saharan Africa,148,141,133,124,116,107,100,93,86,80,75,70,64,60,57,55
Ukraine,UKR,Europe & Central Asia,19,18,17,16,15,15,14,13,13,12,12,11,11,10,10,9
United Arab Emirates,ARE,Middle East & North Africa,11,11,11,10,10,10,10,9,9,9,9,8,8,7,7,7
United Kingdom,GBR,Europe & Central Asia,7,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4
United States,USA,North America,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7
Uruguay,URY,Latin America & Caribbean,17,16,16,15,15,14,14,13,13,13,12,12,12,11,11,10
Uzbekistan,UZB,Europe & Central Asia,63,61,60,58,56,54,53,51,49,48,46,45,43,42,40,39
Vanuatu,VUT,East Asia & Pacific,29,28,28,28,28,28,28,28,28,28,29,29,29,28,28,28
Venezuela,VEN,Latin America & Caribbean,22,21,20,20,19,19,18,17,17,17,17,16,16,16,15,15
Vietnam,VNM,East Asia & Pacific,34,33,31,30,29,29,28,27,26,26,25,24,24,23,22,22
Yemen,YEM,Middle East & North Africa,95,91,86,81,77,73,69,65,61,58,54,51,48,46,44,42
Zambia,ZMB,Sub-Saharan Africa,163,154,143,131,121,112,105,98,93,87,82,79,74,70,67,64
Zimbabwe,ZWE,Sub-Saharan Africa,106,106,105,104,103,102,100,98,95,93,90,86,79,75,72,71
